date,future_code,close,open,high,low,deal,categoryID
31/1/2023,CU2312,1795.5,1795.5,1795.5,1795.5,1,23/10/2023
19/1/2023,CU2312,1830,1855,1855,1824.5,7,23/10/2023
18/1/2023,CU2312,1866,1777,1866,1777,2,23/10/2023
16/1/2023,CU2312,1815.5,1824.5,1824.5,1811,4,23/10/2023
13/1/2023,CU2312,1831,1819.5,1831,1819.5,2,23/10/2023
12/1/2023,CU2312,1799.5,1775.5,1799.5,1770.5,4,23/10/2023
11/1/2023,CU2312,1816,1785,1816,1785,2,23/10/2023
10/1/2023,CU2312,1774,1783.5,1783.5,1774,2,23/10/2023
9/1/2023,CU2312,1792,1792,1792,1792,1,23/10/2023
6/1/2023,CU2312,1750,1756.5,1758,1750,3,23/10/2023
5/1/2023,CU2312,1749,1789,1789,1734,8,23/10/2023
4/1/2023,CU2312,1736,1788.5,1788.5,1736,5,23/10/2023
3/1/2023,CU2312,1829,1810,1829,1755,11,23/10/2023
